file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,chuffed,wdeg_split,0,,,,,,,,,,
test_04,chuffed,wdeg_split,0,,,,,,,,,,
test_01,chuffed,ff_min,0,,,,,,,,,,
test_04,chuffed,ff_min,0,,,,,,,,,,
test_01,gecode,wdeg_split,0,,0.002897419,2.897e-03,0,1,0,0,0,0.00253496,0.000362459
test_04,gecode,wdeg_split,0,,9.995800000000001e-05,9.996e-05,0,1,0,0,0,8.2958e-05,1.7e-05
test_01,gecode,ff_min,0,,9.8083e-05,9.808e-05,0,1,0,0,0,8.0708e-05,1.7375e-05
test_04,gecode,ff_min,0,,0.00010512500000000001,1.051e-04,0,1,0,0,0,8.8708e-05,1.6417e-05
